Fertility_rate	Human_Development_Index
2.154	0.668
2.126	0.668
2.067	0.667
1.965	0.666
1.896	0.665
1.849	0.67
1.838	0.67
1.819	0.66
1.803	0.663
1.785	0.674
1.775	0.678
5.834	0.508
5.785	0.521
5.731	0.536
5.675	0.541
5.618	0.552
5.559	0.566
5.498	0.591
5.433	0.603
5.363	0.613
5.288	0.615
5.209	0.612
5.126	0.624
5.04	0.635
4.952	0.644
4.863	0.652
4.774	0.656
4.686	0.659
4.599	0.661
4.513	0.663
4.429	0.667
4.346	0.668
4.266	0.671
4.17	0.677
4.081	0.674
4.934	0.474
4.881	0.473
4.812	0.472
4.737	0.457
4.656	0.462
4.571	0.465
4.486	0.48
4.407	0.483
4.335	0.479
4.273	0.497
4.217	0.48
4.164	0.485
4.112	0.48
4.056	0.49
3.997	0.495
3.933	0.495
3.867	0.496
3.786	0.499
3.713	0.503
2.042	0.738
1.802	0.734
1.697	0.722
1.486	0.713
1.41	0.711
1.372	0.725
1.361	0.746
1.306	0.759
1.272	0.767
1.293	0.776
1.347	0.793
1.315	0.802
1.353	0.813
1.365	0.824
1.465	0.834
1.515	0.847
1.583	0.855
1.685	0.859
1.719	0.864
1.701	0.863
1.716	0.868
1.616	0.877
1.561	0.88
1.524	0.887
1.543	0.885
1.58	0.888
1.603	0.89
1.596	0.894
1.67	0.897
1.661	0.901
1.588	0.901
1.594	0.899
1.41	0.902
1.35	0.905
5.295	0.57
5.132	0.565
4.981	0.558
4.815	0.55
4.662	0.543
4.523	0.54
4.378	0.532
4.235	0.523
4.125	0.511
4.089	0.504
4.03	0.493
3.944	0.484
3.854	0.473
3.796	0.469
3.76	0.467
3.704	0.472
3.632	0.485
3.58	0.497
3.567	0.507
3.504	0.519
3.375	0.534
3.317	0.545
3.266	0.562
3.237	0.578
3.181	0.592
3.122	0.607
3.068	0.619
3.018	0.631
2.971	0.643
2.925	0.653
2.888	0.657
2.841	0.658
2.801	0.695
2.753	0.695
6.654	0.293
6.579	0.307
6.499	0.314
6.4	0.317
6.301	0.331
6.194	0.35
6.047	0.366
5.887	0.383
5.695	0.398
5.488	0.405
5.282	0.415
5.08	0.425
4.887	0.433
4.708	0.441
4.605	0.449
4.529	0.456
4.473	0.463
4.401	0.47
4.371	0.476
4.347	0.482
4.274	0.486
4.177	0.487
4.082	0.494
3.989	0.497
1.4503926	0.7735119
1.4373416	0.7801411
1.4227575	0.7872637
1.4145938	0.7928959
1.3943344	0.7974899
1.4059267	0.8080217
1.3970999	0.81529015
1.4109023	0.8208476
1.4374725	0.8275237
1.4613155	0.83400583
1.4586754	0.84263706
1.490514	0.848911
1.5324144	0.8548727
1.5916001	0.8590917
1.6004827	0.8599548
1.6074091	0.8645471
1.5890231	0.87022907
1.6152736	0.87196416
1.5930252	0.87687457
1.6093224	0.87929887
1.6050227	0.88032347
1.6117015	0.8832819
1.5564429	0.8861951
1.520992	0.88933504
1.485068	0.89306754
1.4641871	0.8829021
1.4710877	0.88542944
1.409226	0.89101297
1.3921242	0.89665455
3.386	0.629
3.365	0.633
3.331	0.637
3.293	0.642
3.258	0.648
3.251	0.653
3.248	0.657
3.188	0.658
3.118	0.66
3.051	0.667
2.992	0.668
2.973	0.67
2.968	0.67
2.957	0.673
2.941	0.679
2.917	0.681
2.905	0.684
2.872	0.686
2.819	0.69
2.76	0.693
2.696	0.697
2.631	0.701
2.612	0.698
2.604	0.708
2.591	0.712
2.567	0.715
2.518	0.719
2.461	0.725
2.419	0.728
2.385	0.727
2.357	0.718
2.332	0.705
2.305	0.726
2.281	0.731
1.776	0.823
1.794	0.827
1.84	0.833
1.815	0.838
1.839	0.85
1.805	0.856
1.772	0.863
1.742	0.871
1.702	0.88
1.729	0.889
1.726	0.898
1.722	0.908
1.718	0.912
1.756	0.915
1.795	0.911
1.801	0.914
1.832	0.917
1.828	0.92
1.843	0.921
1.86	0.916
1.863	0.92
1.826	0.924
1.797	0.924
1.745	0.934
1.706	0.936
1.645	0.938
1.565	0.94
1.487	0.942
1.407	0.945
1.351	0.947
1.374	0.947
1.461	0.949
1.318	0.946
1.28	0.948
1.782	0.798
1.773	0.807
1.735	0.814
1.661	0.818
1.665	0.832
1.718	0.837
1.74	0.842
1.73	0.847
1.764	0.851
1.793	0.856
1.876	0.852
1.879	0.855
1.865	0.858
1.873	0.862
1.898	0.869
1.916	0.877
1.974	0.881
1.952	0.884
1.987	0.884
1.99	0.883
2.017	0.888
1.995	0.892
1.99	0.893
1.973	0.896
1.974	0.9
1.927	0.901
1.892	0.905
1.859	0.908
1.837	0.911
1.826	0.914
1.785	0.909
1.799	0.915
1.76	0.916
1.639	0.92
5.459	0.621
5.373	0.627
5.289	0.628
5.186	0.631
5.044	0.636
4.884	0.64
4.742	0.644
4.657	0.648
4.576	0.654
4.502	0.653
4.469	0.652
4.417	0.657
4.36	0.661
4.299	0.664
4.252	0.665
4.21	0.671
4.17	0.67
4.142	0.674
4.118	0.675
4.138	0.681
4.153	0.684
4.151	0.69
4.086	0.699
4.019	0.707
3.953	0.716
3.921	0.72
3.921	0.724
3.913	0.726
3.908	0.727
3.884	0.73
3.831	0.732
3.776	0.72
3.712	0.73
3.647	0.733
6.246	0.331
6.191	0.339
6.111	0.347
6.034	0.355
6.035	0.362
5.994	0.37
5.925	0.377
5.851	0.381
5.818	0.389
5.772	0.396
5.716	0.403
5.67	0.41
5.656	0.415
5.656	0.422
5.683	0.432
5.708	0.436
5.736	0.441
5.685	0.447
5.625	0.455
5.574	0.459
5.558	0.463
5.542	0.463
5.519	0.469
5.392	0.474
5.197	0.477
5.003	0.482
4.809	0.487
4.614	0.493
4.42	0.5
4.33	0.508
4.248	0.512
4.165	0.513
4.078	0.519
4.006	0.524
1.609	0.705
1.579	0.712
1.571	0.719
1.552	0.733
1.566	0.737
1.583	0.744
1.617	0.75
1.697	0.76
1.832	0.757
1.993	0.76
1.973	0.77
1.915	0.78
1.929	0.789
1.993	0.796
2.18	0.802
2.214	0.807
2.228	0.809
2.136	0.816
2.093	0.824
2.021	0.83
1.976	0.822
1.98	0.819
1.82	0.838
1.81	0.844
1.46	0.834
1.344	0.841
1.305	0.849
1.288	0.859
1.254	0.865
1.262	0.87
1.33	0.875
1.377	0.881
1.364	0.887
1.37	0.892
1.386	0.897
1.354	0.904
1.344	0.909
1.343	0.914
1.361	0.923
1.344	0.923
1.339	0.927
1.378	0.931
1.387	0.933
1.367	0.933
1.4	0.936
1.385	0.942
1.405	0.944
1.415	0.945
1.469	0.949
1.501	0.948
1.591	0.949
1.57	0.951
1.566	0.952
1.541	0.957
1.531	0.955
1.577	0.958
1.46	0.955
1.441	0.959
5.737	0.432
5.63	0.438
5.517	0.444
5.414	0.45
5.254	0.453
5.106	0.459
4.959	0.465
4.884	0.469
4.829	0.475
4.822	0.48
4.827	0.487
4.768	0.486
4.687	0.493
4.597	0.495
4.504	0.503
4.496	0.515
4.399	0.524
4.288	0.534
4.217	0.546
4.179	0.551
4.181	0.558
4.177	0.568
4.154	0.575
4.114	0.582
4.029	0.58
3.982	0.588
3.873	0.59
3.715	0.594
3.65	0.6
3.593	0.609
3.541	0.614
3.492	0.618
3.434	0.625
3.397	0.628
1.466	0.77
1.459	0.78
1.452	0.782
1.426	0.784
1.414	0.79
1.385	0.792
1.365	0.796
1.357	0.803
1.339	0.813
1.326	0.816
1.331	0.828
1.327	0.837
1.335	0.836
1.333	0.842
1.34	0.851
1.358	0.863
1.403	0.871
1.416	0.866
1.494	0.871
1.507	0.874
1.485	0.876
1.395	0.874
1.345	0.874
1.292	0.879
1.298	0.886
1.328	0.888
1.382	0.884
1.35	0.887
1.35	0.893
1.337	0.896
1.386	0.896
1.432	0.897
1.308	0.897
1.334	0.908
2.378	0.744
2.332	0.751
2.285	0.746
2.242	0.764
2.195	0.764
2.154	0.768
2.116	0.771
2.078	0.767
2.038	0.771
2.006	0.773
1.967	0.774
1.913	0.777
1.799	0.779
1.715	0.782
1.616	0.784
1.438	0.784
1.53	0.788
1.542	0.789
1.532	0.782
1.517	0.782
1.502	0.789
1.487	0.791
5.48	0.499
5.377	0.503
5.314	0.506
5.254	0.51
5.191	0.515
5.105	0.522
5.008	0.53
4.906	0.539
4.8	0.548
4.687	0.556
4.583	0.563
4.502	0.567
4.371	0.572
4.25	0.577
4.134	0.58
3.974	0.583
3.845	0.59
3.716	0.601
3.571	0.609
3.465	0.616
3.375	0.623
3.292	0.628
3.219	0.631
3.151	0.633
3.088	0.65
3.029	0.638
2.973	0.642
2.857	0.647
2.743	0.649
2.593	0.653
2.47	0.645
2.388	0.639
2.343	0.655
2.311	0.662
6.515	0.282
6.484	0.287
6.453	0.293
6.409	0.3
6.358	0.307
6.288	0.314
6.205	0.323
6.123	0.332
6.051	0.342
5.985	0.351
5.918	0.359
5.834	0.366
5.781	0.377
5.744	0.384
5.733	0.391
5.727	0.401
5.704	0.409
5.664	0.416
5.596	0.422
5.528	0.424
5.435	0.43
5.337	0.436
5.232	0.44
5.151	0.445
5.07	0.451
5.002	0.465
4.915	0.482
4.793	0.482
4.669	0.479
4.576	0.486
4.489	0.488
4.399	0.49
4.303	0.498
4.217	0.5
5.46	0.412
5.406	0.424
5.365	0.431
5.266	0.436
5.176	0.444
5.111	0.452
5.067	0.46
5.003	0.462
4.93	0.469
4.79	0.476
4.661	0.481
4.519	0.486
4.347	0.491
4.241	0.493
4.153	0.501
4.075	0.498
3.998	0.502
3.911	0.511
3.836	0.514
3.181	0.494
3.183	0.491
3.188	0.507
3.199	0.521
3.226	0.531
3.238	0.536
3.23	0.546
3.221	0.552
3.182	0.557
3.125	0.562
3.057	0.567
2.958	0.575
2.844	0.58
2.75	0.587
2.681	0.6
2.648	0.61
2.659	0.619
2.681	0.626
2.697	0.632
2.694	0.637
2.684	0.647
2.694	0.659
2.701	0.664
2.711	0.669
2.695	0.678
2.667	0.683
2.634	0.69
2.593	0.696
2.553	0.702
2.521	0.709
2.491	0.722
2.462	0.713
2.437	0.763
2.412	0.776
5.414	0.461
5.317	0.464
5.208	0.466
5.099	0.467
4.991	0.463
4.884	0.473
4.777	0.479
4.669	0.484
4.561	0.488
4.452	0.493
4.39	0.497
4.248	0.5
4.125	0.504
4.047	0.508
3.943	0.505
3.835	0.516
3.761	0.52
3.687	0.524
3.621	0.528
3.565	0.534
3.497	0.452
3.431	0.536
3.321	0.54
3.221	0.545
3.164	0.549
3.11	0.552
3.054	0.555
2.985	0.559
2.924	0.561
2.862	0.56
2.804	0.555
2.748	0.548
2.699	0.552
2.656	0.554
1.821	0.8043755
1.798	0.806783
1.775	0.80932313
1.738	0.81150347
1.718	0.81610936
1.691	0.8224163
1.687	0.82840586
1.678	0.83428735
1.67	0.83827734
1.669	0.84187406
1.688	0.84814763
1.662	0.8533231
1.648	0.85723525
1.654	0.8615973
1.664	0.8671708
1.667	0.87086254
1.703	0.87583596
1.729	0.8802514
1.741	0.8827478
1.72	0.8837552
1.706	0.88799495
1.689	0.8916487
1.692	0.8941138
1.667	0.8981406
1.678	0.90055966
1.675	0.9027572
1.669	0.90514636
1.636	0.90792
1.603	0.91105837
1.564	0.91397655
1.513	0.9056104
1.516	0.90697354
1.495	0.91196257
1.467	0.9179597
5.271	0.516
5.191	0.519
5.113	0.523
5.028	0.529
4.935	0.532
4.835	0.537
4.713	0.541
4.59	0.547
4.473	0.529
4.366	0.552
4.289	0.558
4.153	0.561
4	0.564
3.844	0.568
3.71	0.573
3.577	0.578
3.449	0.582
3.351	0.587
3.26	0.592
3.173	0.594
3.078	0.596
2.998	0.598
2.927	0.597
2.855	0.601
2.793	0.604
2.746	0.61
2.704	0.616
2.663	0.618
2.645	0.619
2.611	0.632
2.577	0.625
2.548	0.628
2.522	0.643
2.5	0.645
1.283	0.755
1.299	0.764
1.359	0.773
1.359	0.784
1.368	0.793
1.304	0.8
1.203	0.808
1.123	0.817
1.025	0.823
0.994	0.83
1.027	0.839
0.941	0.847
0.932	0.854
0.904	0.861
0.921	0.866
0.957	0.872
0.987	0.879
1.03	0.891
1.054	0.907
1.05	0.909
1.12	0.912
1.136	0.918
1.207	0.923
1.265	0.928
1.201	0.932
1.227	0.937
1.205	0.94
1.136	0.946
1.086	0.952
1.055	0.952
0.892	0.95
0.778	0.961
0.708	0.95
0.717	0.955
1.857	0.73
1.863	0.724
1.77	0.722
1.686	0.729
1.64	0.739
1.568	0.744
1.458	0.752
1.377	0.758
1.326	0.764
1.29	0.771
1.32	0.781
1.312	0.791
1.303	0.8
1.275	0.807
1.281	0.811
1.312	0.816
1.341	0.823
1.322	0.826
1.346	0.833
1.321	0.834
1.257	0.838
1.25	0.841
1.334	0.841
1.35	0.85
1.424	0.848
1.446	0.847
1.514	0.851
1.524	0.853
1.522	0.857
1.531	0.861
1.576	0.857
1.605	0.852
1.55	0.867
1.486	0.87
2.302	0.841
2.196	0.853
2.214	0.86
2.221	0.863
2.144	0.868
2.083	0.863
2.111	0.873
2.04	0.881
2.043	0.893
1.997	0.895
2.071	0.902
1.955	0.91
1.936	0.917
1.991	0.925
2.037	0.928
2.046	0.935
2.075	0.936
2.089	0.941
2.156	0.935
2.227	0.934
2.192	0.935
2.023	0.941
2.034	0.946
1.938	0.95
1.928	0.954
1.809	0.956
1.744	0.959
1.711	0.962
1.71	0.966
1.744	0.969
1.718	0.965
1.818	0.967
1.589	0.964
1.54	0.972
4.045	0.446
3.959	0.448
3.877	0.453
3.799	0.458
3.723	0.463
3.651	0.469
3.582	0.476
3.514	0.482
3.446	0.488
3.383	0.496
3.35	0.501
3.303	0.511
3.217	0.516
3.122	0.529
3.046	0.538
2.958	0.547
2.867	0.557
2.775	0.566
2.711	0.574
2.674	0.579
2.598	0.59
2.532	0.603
2.47	0.609
2.399	0.615
2.293	0.625
2.289	0.633
2.284	0.644
2.193	0.649
2.184	0.648
2.12	0.651
2.047	0.652
2.014	0.647
1.994	0.676
1.975	0.685
3.114	0.531
3.058	0.538
2.95	0.545
2.9	0.555
2.851	0.565
2.809	0.575
2.782	0.585
2.742	0.595
2.66	0.591
2.568	0.595
2.503	0.6
2.466	0.608
2.436	0.617
2.41	0.625
2.415	0.624
2.452	0.638
2.457	0.646
2.476	0.649
2.44	0.653
2.442	0.663
2.462	0.67
2.515	0.678
2.514	0.686
2.441	0.69
2.393	0.693
2.346	0.701
2.311	0.705
2.253	0.712
2.219	0.715
2.205	0.714
2.189	0.71
2.166	0.707
2.149	0.726
2.127	0.728
4.934	0.626
4.568	0.645
4.099	0.652
3.674	0.658
3.244	0.664
2.852	0.672
2.542	0.681
2.323	0.687
2.19	0.695
2.089	0.703
1.999	0.71
1.918	0.719
1.836	0.727
1.801	0.732
1.78	0.741
1.756	0.746
1.755	0.757
1.748	0.761
1.743	0.765
1.74	0.771
1.749	0.778
1.792	0.787
1.851	0.795
1.913	0.794
1.975	0.795
2.017	0.788
2.054	0.791
2.023	0.793
1.919	0.79
1.766	0.787
1.7	0.775
1.709	0.777
1.704	0.793
1.695	0.799
5.929	0.531
5.833	0.504
5.718	0.532
5.609	0.55
5.488	0.547
5.36	0.538
5.249	0.557
5.194	0.565
5.112	0.58
5.035	0.589
4.92	0.592
4.799	0.598
4.668	0.6
4.581	0.582
4.527	0.604
4.446	0.609
4.459	0.611
4.404	0.618
4.373	0.634
4.378	0.644
4.457	0.65
4.588	0.656
4.544	0.664
4.441	0.668
4.31	0.671
4.08	0.675
3.843	0.676
3.64	0.681
3.547	0.689
3.48	0.693
3.419	0.68
3.358	0.687
3.294	0.695
3.249	0.695
2.11	0.776
2.077	0.78
1.991	0.787
1.904	0.794
1.848	0.805
1.843	0.809
1.883	0.816
1.932	0.823
1.941	0.855
1.903	0.858
1.893	0.869
1.94	0.876
1.971	0.883
1.96	0.891
1.93	0.899
1.865	0.905
1.915	0.908
2.011	0.911
2.065	0.907
2.063	0.907
2.056	0.915
2.033	0.909
1.99	0.911
1.934	0.915
1.9	0.921
1.861	0.931
1.816	0.936
1.772	0.941
1.761	0.944
1.718	0.947
1.653	0.948
1.777	0.946
1.594	0.947
1.598	0.949
2.84	0.787
2.832	0.791
2.87	0.794
2.866	0.801
2.837	0.806
2.823	0.81
2.862	0.817
2.876	0.824
2.922	0.831
2.888	0.839
2.921	0.839
2.868	0.841
2.877	0.846
2.919	0.847
2.848	0.85
2.793	0.858
2.828	0.867
2.852	0.878
2.903	0.878
2.944	0.884
3.028	0.889
3.01	0.892
3.05	0.893
3.036	0.899
3.081	0.902
3.093	0.902
3.113	0.905
3.123	0.908
3.103	0.911
3.034	0.913
2.937	0.912
3.019	0.918
2.936	0.921
2.83	0.919
1.331	0.787
1.303	0.792
1.296	0.8
1.249	0.806
1.208	0.816
1.188	0.823
1.197	0.829
1.21	0.836
1.21	0.84
1.228	0.845
1.249	0.849
1.247	0.856
1.264	0.862
1.285	0.866
1.337	0.874
1.332	0.876
1.364	0.881
1.393	0.885
1.435	0.885
1.439	0.884
1.443	0.887
1.427	0.89
1.416	0.887
1.38	0.887
1.364	0.89
1.344	0.889
1.336	0.894
1.317	0.897
1.286	0.902
1.259	0.906
1.242	0.899
1.252	0.908
1.24	0.905
1.198	0.915
2.955	0.662
2.997	0.662
3.026	0.664
2.987	0.664
2.93	0.664
2.851	0.665
2.77	0.664
2.677	0.663
2.574	0.662
2.465	0.662
2.345	0.659
2.296	0.668
2.271	0.672
2.244	0.668
2.198	0.684
2.148	0.687
2.089	0.696
2.023	0.704
1.953	0.711
1.879	0.711
1.799	0.708
1.717	0.711
1.648	0.711
1.591	0.711
1.544	0.712
1.508	0.713
1.464	0.714
1.428	0.715
1.4	0.715
1.39	0.716
1.383	0.711
1.378	0.703
1.372	0.718
1.358	0.72
1.509	0.853
1.504	0.857
1.478	0.859
1.44	0.865
1.468	0.872
1.407	0.874
1.403	0.88
1.376	0.883
1.371	0.884
1.34	0.885
1.346	0.889
1.325	0.892
1.308	0.894
1.285	0.896
1.277	0.899
1.245	0.9
1.285	0.903
1.305	0.905
1.33	0.905
1.333	0.905
1.357	0.907
1.363	0.906
1.376	0.909
1.389	0.912
1.388	0.914
1.415	0.917
1.408	0.918
1.39	0.92
1.373	0.921
1.323	0.922
1.304	0.922
1.275	0.922
1.256	0.921
1.208	0.925
5.544	0.619
5.33	0.625
5.137	0.638
4.972	0.643
4.819	0.647
4.676	0.653
4.508	0.657
4.318	0.661
4.112	0.664
3.971	0.668
3.864	0.672
3.803	0.679
3.805	0.686
3.816	0.693
3.729	0.705
3.653	0.713
3.711	0.719
3.797	0.725
3.876	0.733
3.841	0.735
3.78	0.732
3.69	0.734
3.568	0.74
3.449	0.742
3.302	0.742
3.141	0.743
3.072	0.745
2.994	0.747
2.923	0.747
2.855	0.75
2.791	0.743
2.735	0.736
2.679	0.751
2.639	0.754
2.745	0.689
2.677	0.683
2.584	0.68
2.483	0.673
2.378	0.666
2.253	0.665
2.084	0.669
1.97	0.673
1.938	0.678
1.902	0.683
1.898	0.692
1.906	0.707
1.956	0.72
2.075	0.732
2.201	0.743
2.274	0.754
2.38	0.765
2.49	0.772
2.616	0.771
2.58	0.774
2.61	0.781
2.605	0.79
2.64	0.799
2.67	0.808
2.76	0.813
2.755	0.819
2.795	0.82
2.745	0.824
2.845	0.828
2.89	0.834
3.13	0.826
3.32	0.816
3.05	0.831
3.012	0.837
6.135	0.485
5.94	0.485
5.74	0.484
5.569	0.483
5.438	0.484
5.372	0.488
5.307	0.491
5.268	0.493
5.244	0.496
5.177	0.499
5.136	0.5
5.094	0.505
5.027	0.504
4.937	0.515
4.861	0.526
4.801	0.532
4.754	0.541
4.718	0.548
4.66	0.553
4.567	0.553
4.446	0.552
4.284	0.56
4.116	0.565
3.955	0.57
3.843	0.576
3.766	0.583
3.689	0.594
3.609	0.599
3.536	0.605
3.433	0.611
3.364	0.6
3.312	0.608
3.262	0.626
3.208	0.628
3.76	0.588
3.815	0.593
3.865	0.596
3.899	0.596
3.905	0.598
3.898	0.6
3.878	0.603
3.768	0.608
3.643	0.613
3.521	0.615
3.438	0.623
3.375	0.627
3.339	0.63
3.318	0.633
3.29	0.635
3.254	0.632
3.219	0.631
3.182	0.642
3.147	0.644
3.487	0.698
3.398	0.685
3.353	0.699
3.313	0.704
3.272	0.734
3.248	0.763
3.223	0.769
3.135	0.765
3.039	0.77
2.952	0.773
2.887	0.778
2.839	0.777
2.795	0.783
2.771	0.795
2.762	0.798
2.731	0.798
2.589	0.799
2.412	0.801
2.266	0.805
2.155	0.809
2.044	0.812
1.956	0.817
1.99	0.822
1.968	0.814
2.06	0.818
2.03	0.832
2.061	0.836
2.16	0.838
2.118	0.84
2.087	0.843
2.099	0.837
1.82	0.839
1.547	0.845
1.525	0.852
3.798	0.649
3.737	0.643
3.637	0.631
3.41	0.615
3.283	0.595
3.291	0.59
3.092	0.597
2.88	0.608
2.795	0.613
2.714	0.619
2.576	0.627
2.546	0.634
2.566	0.635
2.595	0.642
2.631	0.646
2.645	0.648
2.744	0.652
2.781	0.658
2.838	0.666
2.955	0.669
3.096	0.668
3.14	0.67
3.183	0.679
3.15	0.686
3.21	0.691
3.208	0.695
3.104	0.7
3.044	0.704
3.28	0.708
3.33	0.708
3.05	0.7
2.89	0.704
2.81	0.717
2.8	0.72
6.057	0.409
5.986	0.415
5.9	0.42
5.798	0.426
5.598	0.434
5.355	0.436
5.148	0.449
4.961	0.455
4.792	0.462
4.639	0.469
4.429	0.473
4.29	0.479
4.132	0.488
4.024	0.496
3.898	0.505
3.685	0.514
3.559	0.515
3.438	0.529
3.331	0.537
3.229	0.548
3.137	0.556
3.049	0.567
2.953	0.577
2.872	0.587
2.802	0.597
2.796	0.604
2.744	0.609
2.691	0.612
2.633	0.613
2.589	0.615
2.535	0.616
2.494	0.613
2.455	0.614
2.421	0.617
1.987	0.736
1.844	0.733
1.72	0.709
1.503	0.692
1.384	0.686
1.252	0.695
1.161	0.714
1.117	0.727
1.104	0.738
1.171	0.753
1.244	0.764
1.223	0.775
1.258	0.786
1.322	0.798
1.297	0.809
1.389	0.818
1.464	0.823
1.542	0.829
1.585	0.837
1.472	0.836
1.367	0.833
1.343	0.84
1.444	0.843
1.527	0.852
1.646	0.854
1.706	0.859
1.742	0.864
1.698	0.87
1.612	0.875
1.609	0.88
1.546	0.879
1.572	0.871
1.47	0.881
1.338	0.889
2.291	0.71
2.244	0.713
2.201	0.726
2.172	0.734
2.191	0.743
2.256	0.75
2.32	0.758
2.345	0.762
2.361	0.762
2.375	0.761
2.382	0.763
2.39	0.767
2.372	0.772
2.347	0.774
2.327	0.771
2.308	0.75
2.283	0.733
2.263	0.755
2.239	0.752
4.813	0.483
4.681	0.482
4.541	0.481
4.365	0.477
4.21	0.478
4.125	0.476
4.058	0.473
3.982	0.469
3.815	0.469
3.67	0.462
3.605	0.462
3.63	0.457
3.682	0.455
3.619	0.456
3.508	0.454
3.428	0.454
3.414	0.451
3.442	0.458
3.392	0.463
3.309	0.468
3.25	0.478
3.343	0.485
3.296	0.496
3.283	0.502
3.239	0.509
3.217	0.517
3.18	0.526
3.105	0.531
3.016	0.538
2.924	0.541
2.846	0.537
2.769	0.532
2.716	0.547
2.694	0.55
5.953	0.403
5.875	0.443
5.774	0.448
5.653	0.453
5.547	0.429
5.506	0.442
5.519	0.446
5.53	0.45
5.462	0.455
5.328	0.459
5.174	0.463
5.058	0.467
4.97	0.471
4.881	0.475
4.749	0.481
4.622	0.479
4.523	0.48
4.461	0.485
4.396	0.491
4.336	0.495
4.257	0.497
4.174	0.498
4.089	0.503
4.016	0.508
3.95	0.51
4.776	0.69
4.461	0.7
4.162	0.703
3.883	0.705
3.649	0.71
3.442	0.712
3.256	0.716
3.132	0.721
3.043	0.721
2.972	0.724
2.906	0.727
2.866	0.73
2.831	0.733
2.797	0.739
2.773	0.741
2.765	0.747
2.699	0.751
2.648	0.754
2.599	0.754
2.556	0.753
2.603	0.755
2.646	0.715
2.68	0.758
2.716	0.748
2.754	0.728
2.711	0.728
2.673	0.725
2.626	0.74
2.581	0.743
2.539	0.737
2.507	0.688
2.462	0.729
2.402	0.741
2.355	0.721
1.573	0.882
1.524	0.888
1.468	0.893
1.373	0.897
1.439	0.904
1.487	0.903
1.428	0.908
1.421	0.909
1.442	0.912
1.68	0.913
1.435	0.914
1.662	0.919
1.514	0.919
1.462	0.92
1.57	0.923
1.425	0.925
1.59	0.926
1.458	0.929
1.564	0.928
1.483	0.935
1.461	0.929
1.523	0.933
1.529	0.936
1.537	0.938
2.031	0.745
2.013	0.738
1.97	0.723
1.741	0.705
1.577	0.699
1.552	0.706
1.495	0.723
1.468	0.739
1.458	0.751
1.456	0.762
1.383	0.778
1.281	0.787
1.231	0.799
1.26	0.812
1.271	0.821
1.291	0.828
1.322	0.834
1.359	0.839
1.444	0.849
1.499	0.851
1.499	0.854
1.548	0.86
1.591	0.862
1.583	0.865
1.628	0.866
1.705	0.869
1.692	0.875
1.633	0.885
1.635	0.889
1.61	0.894
1.487	0.888
1.359	0.887
1.27	0.888
1.201	0.895
5.758	0.34204078
5.701	0.35059604
5.631	0.3596332
5.56	0.39877075
5.494	0.402766
5.413	0.42096916
5.322	0.4269735
5.24	0.43000394
5.164	0.432075
5.106	0.43649974
5.053	0.43883622
4.995	0.4427982
4.936	0.44619104
4.878	0.4525536
4.813	0.45707306
4.742	0.45871836
4.67	0.4588084
4.602	0.47149748
4.532	0.47806427
3.646	0.48673937
3.602	0.49990252
3.55	0.5078028
3.479	0.5139684
3.41	0.5242137
3.347	0.533825
3.284	0.5434632
3.236	0.55155903
3.186	0.5593327
3.154	0.56541926
3.127	0.5710855
3.078	0.57957613
3.034	0.5894755
2.996	0.5956914
2.954	0.60151386
2.897	0.60980934
2.88	0.6173714
2.849	0.62547666
2.783	0.62979513
2.741	0.6321534
2.683	0.63645244
2.627	0.6364669
2.594	0.63409626
2.571	0.6529091
2.554	0.6585855
1.602	0.787
1.613	0.796
1.651	0.801
1.706	0.812
1.725	0.82
1.705	0.824
1.768	0.832
1.719	0.837
1.687	0.845
1.744	0.858
1.761	0.861
1.662	0.863
1.629	0.868
1.62	0.87
1.657	0.878
1.631	0.879
1.646	0.88
1.611	0.883
1.606	0.896
1.59	0.905
1.622	0.909
1.53	0.911
1.572	0.914
1.55	0.919
1.499	0.924
1.464	0.913
1.415	0.916
1.392	0.913
1.38	0.915
1.343	0.916
1.361	0.916
1.382	0.918
1.39	0.922
1.396	0.922
5.839	0.436
5.665	0.443
5.528	0.451
5.412	0.448
5.329	0.458
5.264	0.465
5.195	0.47
5.133	0.474
5.083	0.482
5.043	0.49
5.003	0.493
4.896	0.493
4.737	0.494
4.613	0.496
4.527	0.497
4.421	0.5
4.335	0.501
4.285	0.501
4.259	0.505
4.246	0.501
4.221	0.495
4.17	0.483
4.104	0.481
4.036	0.483
3.972	0.487
6.74	0.306
6.681	0.31
6.63	0.318
6.573	0.324
6.488	0.325
6.392	0.37
6.285	0.375
6.231	0.379
6.205	0.384
6.124	0.392
6.002	0.394
5.943	0.4
5.903	0.407
5.875	0.414
5.864	0.421
5.848	0.427
5.802	0.436
5.724	0.444
5.609	0.455
5.453	0.465
5.263	0.475
5.083	0.483
4.902	0.488
4.759	0.494
4.569	0.5
4.384	0.504
4.216	0.506
4.113	0.508
4.021	0.51
3.952	0.513
3.877	0.512
3.791	0.509
3.72	0.513
3.648	0.517
3.304	0.653
3.339	0.661
3.373	0.67
3.364	0.677
3.346	0.684
3.317	0.691
3.297	0.701
3.227	0.713
3.12	0.718
3.068	0.723
2.942	0.733
2.807	0.731
2.658	0.732
2.601	0.737
2.493	0.739
2.391	0.736
2.308	0.742
2.252	0.754
2.262	0.765
2.223	0.773
2.144	0.779
2.153	0.782
2.117	0.787
2.07	0.791
2.058	0.795
2.008	0.8
1.942	0.805
