Fertility_rate	Human_Development_Index
4.039	0.592
3.696	0.615
2.1	0.717
1.927	0.764
2.75	0.646
2.714	0.657
2.537	0.731
4.62	0.502
3.776	0.453
3.911	0.567
3.744	0.586
1.25	0.864
1.208	0.866
1.129	0.873
1.045	0.876
1.058	0.871
2.168	0.861
1.882	0.861
1.908	0.867
1.863	0.868
1.892	0.868
1.825	0.882
1.765	0.891
1.764	0.897
1.849	0.914
1.882	0.917
1.991	0.919
1.972	0.927
1.792	0.939
1.743	0.945
1.593	0.95
1.364	0.879
1.415	0.895
1.404	0.902
1.381	0.905
1.44	0.912
1.43	0.915
1.44	0.916
1.464	0.919
1.41	0.927
2.042	0.871
1.839	0.902
1.563	0.868
1.564	0.875
1.603	0.884
1.594	0.886
1.794	0.913
1.813	0.916
1.835	0.919
1.748	0.925
1.69	0.933
1.379	0.951
1.696	0.865
1.723	0.868
1.719	0.873
1.693	0.871
1.674	0.881
1.569	0.884
1.553	0.883
1.51	0.894
1.545	0.906
1.612	0.913
1.642	0.918
1.627	0.921
1.627	0.927
1.612	0.93
1.614	0.932
1.548	0.935
1.51	0.935
1.413	0.931
1.366	0.935
1.167	0.878
1.484	0.867
1.323	0.882
1.323	0.897
1.33	0.907
1.361	0.905
1.392	0.907
1.333	0.864
1.508	0.873
1.51	0.875
1.427	0.883
1.447	0.885
1.455	0.892
1.753	0.903
1.751	0.87
1.723	0.883
1.734	0.894
1.726	0.902
1.779	0.912
1.88	0.922
1.688	0.939
1.712	0.943
1.749	0.951
1.678	0.954
1.559	0.959
1.719	0.864
1.543	0.885
1.58	0.888
1.661	0.901
1.41	0.902
1.5930252	0.87687457
1.6093224	0.87929887
1.6050227	0.88032347
1.4641871	0.8829021
1.742	0.871
1.795	0.911
1.801	0.914
1.832	0.917
1.828	0.92
1.826	0.924
1.797	0.924
1.407	0.945
1.351	0.947
1.374	0.947
1.461	0.949
1.318	0.946
1.916	0.877
1.974	0.881
1.987	0.884
1.99	0.883
1.99	0.893
1.859	0.908
1.785	0.909
1.639	0.92
1.262	0.87
1.377	0.881
1.364	0.887
1.37	0.892
1.344	0.909
1.361	0.923
1.387	0.933
1.4	0.936
1.385	0.942
1.591	0.949
1.57	0.951
1.577	0.958
1.441	0.959
1.494	0.871
1.485	0.876
1.395	0.874
1.298	0.886
1.328	0.888
1.35	0.887
1.337	0.896
1.386	0.896
1.334	0.908
1.664	0.8671708
1.703	0.87583596
1.741	0.8827478
1.675	0.9027572
1.669	0.90514636
1.564	0.91397655
0.921	0.866
0.987	0.879
1.03	0.891
1.054	0.907
1.12	0.912
1.207	0.923
1.265	0.928
1.201	0.932
1.227	0.937
1.205	0.94
1.086	0.952
0.708	0.95
0.717	0.955
1.531	0.861
1.55	0.867
2.144	0.868
2.075	0.936
2.156	0.935
2.023	0.941
1.938	0.95
1.744	0.959
1.711	0.962
1.71	0.966
1.818	0.967
1.54	0.972
1.93	0.899
1.865	0.905
1.915	0.908
2.011	0.911
2.065	0.907
2.056	0.915
1.99	0.911
