emissions_total_per_capita	renewable_share_of_electricity__pct
5.225092	1.923077
5.046789	7.017544
4.966297	11.864408
4.9766817	13.333333
4.4126396	14.516129
8.927446	2.812913
8.642737	2.7890654
8.309455	2.8076127
9.033147	2.9037461
8.4733	4.093465
8.507941	4.535147
0.4082267	0.0
0.4025793	0.0
0.38881806	0.0
0.37959152	0.0
0.3794816	0.0
0.041257966	5.4054055
0.039769154	5.4054055
0.03586731	8.108108
0.03585213	10.526316
0.03147589	10.526316
7.4144244	4.880428
7.7887363	5.028309
7.16727	5.8506637
6.9252067	7.31857
6.497632	9.785933
6.3578267	12.953798
12.977493	4.30764
12.480777	5.15167
11.524341	6.307181
11.882247	7.118768
11.62734	8.255816
11.158091	8.945115
0.17156464	1.8181818
0.17083813	1.7857143
0.158226	1.7857143
0.16152208	3.448276
0.1441006	3.2258065
1.5004996	4.28807
1.3463072	4.4142613
1.2500484	4.7589993
1.2036942	4.6044865
1.1269557	4.626334
11.999405	3.9449806
11.592632	4.9017105
11.503086	4.782314
12.036995	5.381998
11.685236	7.6522646
11.200046	8.6510105
4.0392394	14.356436
3.9411173	14.862474
3.7956147	14.211243
1.2844812	14.285714
1.5260453	14.285714
1.7336501	14.285714
1.806809	14.285714
1.8577782	12.5
27.422825	0.108342364
27.466105	0.108695656
23.677786	0.108342364
24.476803	0.10787486
24.270796	0.10615711
22.834675	0.06438073
2.6462247	3.0873132
2.556072	3.7511435
2.3793378	3.9775383
2.586767	4.240766
2.6360955	3.0660377
2.6878552	3.1859248
9.429271	0.0
9.285526	0.0
9.246278	0.0
8.944568	0.04436557
8.873182	0.043346338
8.603915	0.030196952
8.735154	0.0
8.407761	0.0
8.094134	0.0
8.103864	0.0
7.752226	0.0
5.124302	8.150882
4.9367437	7.7007914
4.6290064	11.468978
4.744018	13.78401
22.435678	0.88228816
23.435728	2.6435537
23.006842	3.7727604
22.08925	4.194068
22.06371	4.5043297
3.15963	9.394373
3.2892537	10.184165
3.2641847	7.532702
3.5113323	6.9777217
3.578784	6.661316
3.4995937	9.379771
0.62945837	14.285714
0.5647678	14.285714
0.6743769	14.285714
0.70683634	14.285714
0.70716006	14.285714
0.34018838	13.753582
0.33713272	14.634147
0.28854162	82.90598
0.2859553	83.17757
0.29706287	85.0
0.25679472	84.33735
0.26018026	84.33735
1.8296225	100.0
0.68097985	73.19849
0.49424374	75.60976
4.0443406	23.995094
3.65377	25.318031
4.217578	24.18544
4.4943905	28.727707
4.2998033	34.699863
2.0008378	30.434782
2.5840976	32.253887
7.735446	15.463918
7.9738107	15.306123
7.7149777	15.306123
16.544464	18.844
14.66979	33.215137
7.650861	77.29523
6.783409	78.054474
6.415725	84.48328
8.675304	20.99471
7.9053583	26.563208
7.6450696	25.759508
7.1177025	33.05825
1.5901606	92.68293
1.8330257	86.53847
2.1169295	100.0
2.058052	100.0
1.9549538	30.152283
1.9368082	36.873158
1.5497013	35.843372
1.8225433	37.523453
1.852948	35.013035
1.9078085	28.806585
6.3140154	29.184036
6.553135	39.00054
6.541299	33.474323
2.3210206	82.35754
2.281887	81.38569
5.285019	18.609865
5.311196	25.906475
0.05439388	62.96296
0.058575917	72.72727
0.059800673	66.666664
1.1303334	48.13137
1.1339663	51.74418
0.3969762	58.8993
0.36354846	62.315273
15.527008	65.56212
15.404461	65.399445
13.795024	66.7534
1.113411	20.930233
1.0038707	16.666668
1.0567663	16.666668
0.04730473	100.0
4.4692864	42.859005
4.791046	41.64621
4.1391754	43.807076
4.221193	52.95602
3.9314575	60.818085
7.2818375	25.610998
7.5264006	26.848654
7.6471825	28.08742
8.025529	28.69294
8.366814	30.6804
1.842679	75.01777
1.1939441	35.27508
1.2985791	23.224043
1.334546	23.498695
1.2583876	22.900763
1.3440192	22.5
